Hit_res,Multi_scatter,noise_rate,efficency_err,epsilon,phi_range,theta_range,primary_verticies,event_count,ghost_rate_metrics,clone_fraction_metrics,reconstruction_efficiency_metrics,hit_efficiency_metrics,purity_metrics,total_rec_tracks_metrics,total_truth_tracks_metrics,ghost_tracks_metrics,clones_count_metrics,metrics
0.004,0.0002,0.02,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.157657429165161]]",1,0.0,0.0,1.0,0.9183673469387751,1.0,10,10,[],0,
0.004,0.0002,0.02,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.660920556276823]]",1,0.0,0.0,1.0,0.958333333333333,1.0,10,10,[],0,
0.004,0.0002,0.04,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.41293957996634706]]",1,0.0,0.0,1.0,0.98,1.0,10,10,[],0,
0.004,0.0002,0.04,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, 2.447998377158913]]",1,0.0,0.0,1.0,0.955555555555555,1.0,10,10,[],0,
0.004,0.0002,0.04,0.02,1.124999789103853e-06,0.2,0.2,"[[0, 0, -0.15923689856244103]]",1,0.0,0.0,1.0,0.9183673469387751,1.0,10,10,[],0,
0.004,0.0002,0.04,0.04,1.124999789103853e-06,0.2,0.2,"[[0, 0, 1.406430972019733]]",1,0.0,0.0,1.0,0.958333333333333,1.0,10,10,[],0,
0.004,0.0004,0.01,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.721733734639819]]",1,0.0,0.0,1.0,0.72,1.0,10,10,[],0,
0.004,0.0004,0.01,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 1.23009801437507]]",1,0.0,0.0,1.0,0.711111111111111,1.0,10,10,[],0,
0.004,0.0004,0.01,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, -1.23570409235313]]",1,0.0,0.0,1.0,0.693877551020408,1.0,10,10,[],0,
0.004,0.0004,0.01,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -1.623469587738438]]",1,0.0,0.0,1.0,0.8125,1.0,10,10,[],0,
0.004,0.0004,0.02,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.91933965285868]]",1,0.0,0.0,0.9,0.72,1.0,9,10,[],0,
0.004,0.0004,0.02,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.051682065089645006]]",1,0.0,0.0,1.0,0.7333333333333331,1.0,10,10,[],0,
0.004,0.0004,0.02,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, 2.032461870882838]]",1,0.0,0.0,1.0,0.7142857142857141,1.0,10,10,[],0,
0.004,0.0004,0.02,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.931204717031025]]",1,0.0,0.0,1.0,0.8541666666666661,1.0,10,10,[],0,
0.004,0.0004,0.04,0.0,1.999999333368585e-06,0.2,0.2,"[[0, 0, 1.173546715055221]]",1,0.0,0.0,1.0,0.74,1.0,10,10,[],0,
0.004,0.0004,0.04,0.1,1.999999333368585e-06,0.2,0.2,"[[0, 0, 0.044269551573505005]]",1,0.0,0.0,1.0,0.711111111111111,1.0,10,10,[],0,
0.004,0.0004,0.04,0.02,1.999999333368585e-06,0.2,0.2,"[[0, 0, -1.62764100561977]]",1,0.0,0.0,1.0,0.7142857142857141,1.0,10,10,[],0,
0.004,0.0004,0.04,0.04,1.999999333368585e-06,0.2,0.2,"[[0, 0, -0.090675651420869]]",1,0.0,0.0,0.8,0.6041666666666661,1.0,8,10,[],0,
0,0,0.01,0.0,1.124999789103853e-06,0.2,0.2,"[[0, 0, 0.7228664426339351]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,"{'ghost_rate': 0.0, 'clone_fraction': 0.0, 'reconstruction_efficiency': 1.0, 'hit_efficiency': 1.0, 'purity': 1.0, 'total_rec_tracks': 10, 'total_truth_tracks': 10, 'ghost_tracks': [], 'clones_count': 0}"
0,0,0.01,0.1,1.124999789103853e-06,0.2,0.2,"[[0, 0, -1.254040137331833]]",1,0.0,0.0,1.0,1.0,1.0,10,10,[],0,"{'ghost_rate': 0.0, 'clone_fraction': 0.0, 'reconstruction_efficiency': 1.0, 'hit_efficiency': 1.0, 'purity': 1.0, 'total_rec_tracks': 10, 'total_truth_tracks': 10, 'ghost_tracks': [], 'clones_count': 0}"
